virtual_rater,side,original_rater,n,spearman_r,p_value
Anonymous_14.137.139.192_R,R,Anonymous_14.137.139.192,7,-0.2963,0.5187
Anonymous_159.138.216.23_L,L,Anonymous_159.138.216.23,1,,
Anonymous_159.138.216.23_R,R,Anonymous_159.138.216.23,1,,
Anonymous_159.138.218.175_L,L,Anonymous_159.138.218.175,2,,
Anonymous_159.138.218.175_R,R,Anonymous_159.138.218.175,2,,
Anonymous_159.138.218.18_L,L,Anonymous_159.138.218.18,1,,
Anonymous_159.138.218.18_R,R,Anonymous_159.138.218.18,1,,
Anonymous_176.53.205.126_L,L,Anonymous_176.53.205.126,1,,
Anonymous_176.53.205.126_R,R,Anonymous_176.53.205.126,1,,
Anonymous_176.59.13.156_L,L,Anonymous_176.59.13.156,1,,
Anonymous_176.59.13.156_R,R,Anonymous_176.59.13.156,1,,
Anonymous_176.59.21.66_L,L,Anonymous_176.59.21.66,2,,
Anonymous_176.59.21.66_R,R,Anonymous_176.59.21.66,2,,
Anonymous_178.252.127.225_L,L,Anonymous_178.252.127.225,1,,
Anonymous_178.252.127.225_R,R,Anonymous_178.252.127.225,1,,
Anonymous_178.66.156.248_L,L,Anonymous_178.66.156.248,1,,
Anonymous_178.66.156.248_R,R,Anonymous_178.66.156.248,1,,
Anonymous_178.71.236.89_L,L,Anonymous_178.71.236.89,6,0.5296,0.2798
Anonymous_178.71.236.89_R,R,Anonymous_178.71.236.89,6,-0.3582,0.4856
Anonymous_185.24.52.32_L,L,Anonymous_185.24.52.32,4,,
Anonymous_185.24.52.32_R,R,Anonymous_185.24.52.32,4,,
Anonymous_188.170.78.137_L,L,Anonymous_188.170.78.137,1,,
Anonymous_188.170.78.137_R,R,Anonymous_188.170.78.137,1,,
Anonymous_188.170.82.230_L,L,Anonymous_188.170.82.230,2,,
Anonymous_188.170.82.230_R,R,Anonymous_188.170.82.230,2,,
Anonymous_188.187.74.97_L,L,Anonymous_188.187.74.97,8,0.0,1.0
Anonymous_188.187.74.97_R,R,Anonymous_188.187.74.97,8,0.0156,0.9708
Anonymous_188.243.182.141_L,L,Anonymous_188.243.182.141,4,,
Anonymous_188.243.182.141_R,R,Anonymous_188.243.182.141,4,,
Anonymous_188.243.238.216_L,L,Anonymous_188.243.238.216,1,,
Anonymous_188.243.238.216_R,R,Anonymous_188.243.238.216,1,,
Anonymous_213.152.165.107_L,L,Anonymous_213.152.165.107,2,,
Anonymous_213.152.165.107_R,R,Anonymous_213.152.165.107,2,,
Anonymous_5.166.36.31_L,L,Anonymous_5.166.36.31,4,,
Anonymous_5.166.36.31_R,R,Anonymous_5.166.36.31,4,,
Anonymous_5.18.163.156_L,L,Anonymous_5.18.163.156,1,,
Anonymous_5.18.163.156_R,R,Anonymous_5.18.163.156,1,,
Anonymous_5.18.95.129_L,L,Anonymous_5.18.95.129,1,,
Anonymous_5.18.95.129_R,R,Anonymous_5.18.95.129,1,,
Anonymous_77.234.193.84_L,L,Anonymous_77.234.193.84,7,,
Anonymous_77.234.193.84_R,R,Anonymous_77.234.193.84,7,,
Anonymous_77.234.203.186_L,L,Anonymous_77.234.203.186,3,,
Anonymous_77.234.203.186_R,R,Anonymous_77.234.203.186,3,,
Anonymous_77.234.216.36_L,L,Anonymous_77.234.216.36,1,,
Anonymous_77.234.216.36_R,R,Anonymous_77.234.216.36,1,,
Anonymous_85.143.144.79_L,L,Anonymous_85.143.144.79,8,,
Anonymous_85.143.144.79_R,R,Anonymous_85.143.144.79,8,,
Anonymous_85.249.20.122_L,L,Anonymous_85.249.20.122,1,,
Anonymous_85.249.20.122_R,R,Anonymous_85.249.20.122,1,,
Anonymous_88.201.165.124_L,L,Anonymous_88.201.165.124,1,,
Anonymous_88.201.165.124_R,R,Anonymous_88.201.165.124,1,,
Anonymous_88.201.167.57_L,L,Anonymous_88.201.167.57,1,,
Anonymous_88.201.167.57_R,R,Anonymous_88.201.167.57,1,,
Anonymous_95.161.223.140_L,L,Anonymous_95.161.223.140,6,,
Anonymous_95.161.223.140_R,R,Anonymous_95.161.223.140,6,,
Anonymous_95.55.35.26_L,L,Anonymous_95.55.35.26,4,,
Anonymous_95.55.35.26_R,R,Anonymous_95.55.35.26,4,,
Artem_L,L,Artem,39,-0.392,0.0136
Artem_R,R,Artem,39,-0.269,0.0977
Arthur_L,L,Arthur,4,,
Arthur_R,R,Arthur,4,,
Fedor_L,L,Fedor,4,,
Fedor_R,R,Fedor,4,,
Gorbatovski_L,L,Gorbatovski,4,,
Gorbatovski_R,R,Gorbatovski,4,,
Sergey Kovalchuk_L,L,Sergey Kovalchuk,23,-0.2916,0.1771
Sergey Kovalchuk_R,R,Sergey Kovalchuk,23,0.111,0.6141
TypingCat_L,L,TypingCat,19,-0.1666,0.4955
TypingCat_R,R,TypingCat,19,-0.4476,0.0547
Vadim_L,L,Vadim,11,-0.5791,0.0619
Vadim_R,R,Vadim,11,0.0,1.0
XXZ_L,L,XXZ,13,0.3573,0.2307
XXZ_R,R,XXZ,13,-0.6934,0.0086
