virtual_rater,original_rater,side,n_evaluations,mean_rating,std_rating,mean_consistent,mean_correct,mean_useful
Anonymous_10.81.190.38_L,Anonymous_10.81.190.38,L,3,-1.7777777777777777,0.628539361054709,-1.3333333333333333,-2.0,-2.0
Anonymous_10.81.190.38_R,Anonymous_10.81.190.38,R,3,0.1111111111111111,1.1967032904743342,0.6666666666666666,-0.3333333333333333,0.0
Anonymous_10.81.192.36_L,Anonymous_10.81.192.36,L,3,-0.7777777777777778,1.227262335243029,-0.3333333333333333,-1.0,-1.0
Anonymous_10.81.192.36_R,Anonymous_10.81.192.36,R,3,-1.4444444444444444,0.8314794192830981,-0.3333333333333333,-2.0,-2.0
Anonymous_10.81.194.230_L,Anonymous_10.81.194.230,L,2,-0.3333333333333333,1.247219128924647,0.5,-1.0,-0.5
Anonymous_10.81.194.230_R,Anonymous_10.81.194.230,R,2,0.16666666666666666,1.8633899812498245,0.5,0.0,0.0
Anonymous_109.167.205.3_L,Anonymous_109.167.205.3,L,1,-0.3333333333333333,1.699673171197595,-2.0,2.0,-1.0
Anonymous_109.167.205.3_R,Anonymous_109.167.205.3,R,1,1.6666666666666667,0.4714045207910317,2.0,2.0,1.0
Anonymous_134.209.200.134_R,Anonymous_134.209.200.134,R,4,-0.16666666666666666,1.771690968789108,1.0,-0.5,-1.0
Anonymous_134.209.200.134_L,Anonymous_134.209.200.134,L,4,1.1666666666666667,1.2133516482134197,1.5,1.25,0.75
Anonymous_14.137.135.219_L,Anonymous_14.137.135.219,L,1,0.0,0.0,0.0,0.0,0.0
Anonymous_14.137.135.219_R,Anonymous_14.137.135.219,R,1,0.0,0.0,0.0,0.0,0.0
Anonymous_14.137.139.192_L,Anonymous_14.137.139.192,L,7,-0.6666666666666666,1.3569339855976197,-0.2857142857142857,-0.8571428571428571,-0.8571428571428571
Anonymous_14.137.139.192_R,Anonymous_14.137.139.192,R,7,-0.14285714285714285,1.64130361329658,-0.14285714285714285,-0.14285714285714285,-0.14285714285714285
Anonymous_159.138.216.23_L,Anonymous_159.138.216.23,L,1,0.6666666666666666,0.4714045207910317,1.0,1.0,0.0
Anonymous_159.138.216.23_R,Anonymous_159.138.216.23,R,1,1.6666666666666667,0.4714045207910317,2.0,2.0,1.0
Anonymous_159.138.218.175_L,Anonymous_159.138.218.175,L,2,-0.8333333333333334,1.0671873729054748,0.5,-1.0,-2.0
Anonymous_159.138.218.175_R,Anonymous_159.138.218.175,R,2,0.3333333333333333,1.3743685418725538,0.5,0.5,0.0
Anonymous_159.138.218.18_L,Anonymous_159.138.218.18,L,1,1.6666666666666667,0.4714045207910317,2.0,2.0,1.0
Anonymous_159.138.218.18_R,Anonymous_159.138.218.18,R,1,1.0,0.816496580927726,2.0,1.0,0.0
Anonymous_176.53.205.126_R,Anonymous_176.53.205.126,R,1,-0.3333333333333333,0.4714045207910317,-1.0,0.0,0.0
Anonymous_176.53.205.126_L,Anonymous_176.53.205.126,L,1,0.0,0.0,0.0,0.0,0.0
Anonymous_176.59.13.156_L,Anonymous_176.59.13.156,L,1,2.0,0.0,2.0,2.0,2.0
Anonymous_176.59.13.156_R,Anonymous_176.59.13.156,R,1,-0.6666666666666666,1.8856180831641267,2.0,-2.0,-2.0
Anonymous_176.59.21.66_L,Anonymous_176.59.21.66,L,2,0.0,0.0,0.0,0.0,0.0
Anonymous_176.59.21.66_R,Anonymous_176.59.21.66,R,2,-0.3333333333333333,0.74535599249993,-1.0,0.0,0.0
Anonymous_178.252.127.225_L,Anonymous_178.252.127.225,L,1,1.0,0.816496580927726,2.0,1.0,0.0
Anonymous_178.252.127.225_R,Anonymous_178.252.127.225,R,1,0.6666666666666666,0.9428090415820634,2.0,0.0,0.0
Anonymous_178.66.156.248_L,Anonymous_178.66.156.248,L,1,-1.0,0.0,-1.0,-1.0,-1.0
Anonymous_178.66.156.248_R,Anonymous_178.66.156.248,R,1,-1.0,0.0,-1.0,-1.0,-1.0
Anonymous_178.71.236.89_L,Anonymous_178.71.236.89,L,6,-0.2222222222222222,1.0304020550550783,0.0,-0.3333333333333333,-0.3333333333333333
Anonymous_178.71.236.89_R,Anonymous_178.71.236.89,R,6,-0.3333333333333333,0.9428090415820634,-0.16666666666666666,-0.3333333333333333,-0.5
Anonymous_185.24.52.32_L,Anonymous_185.24.52.32,L,4,-0.25,1.8314384146529925,2.0,-1.25,-1.5
Anonymous_185.24.52.32_R,Anonymous_185.24.52.32,R,4,0.4166666666666667,1.7539637649874324,1.0,0.25,0.0
Anonymous_188.170.78.137_R,Anonymous_188.170.78.137,R,1,1.0,0.816496580927726,2.0,1.0,0.0
Anonymous_188.170.78.137_L,Anonymous_188.170.78.137,L,1,0.6666666666666666,0.9428090415820634,2.0,0.0,0.0
Anonymous_188.170.82.230_L,Anonymous_188.170.82.230,L,2,1.0,1.0,1.0,1.0,1.0
Anonymous_188.170.82.230_R,Anonymous_188.170.82.230,R,2,0.0,0.0,0.0,0.0,0.0
Anonymous_188.187.74.97_L,Anonymous_188.187.74.97,L,8,0.3333333333333333,0.5527707983925667,0.375,0.125,0.5
Anonymous_188.187.74.97_R,Anonymous_188.187.74.97,R,8,0.5,0.8660254037844386,0.5,0.375,0.625
Anonymous_188.243.182.141_L,Anonymous_188.243.182.141,L,4,1.0833333333333333,1.1873172373979173,0.75,2.0,0.5
Anonymous_188.243.182.141_R,Anonymous_188.243.182.141,R,4,-0.25,1.7380544678845176,-0.25,-0.5,0.0
Anonymous_188.243.238.216_L,Anonymous_188.243.238.216,L,1,0.0,0.0,0.0,0.0,0.0
Anonymous_188.243.238.216_R,Anonymous_188.243.238.216,R,1,0.0,0.0,0.0,0.0,0.0
Anonymous_213.152.165.107_L,Anonymous_213.152.165.107,L,2,-1.6666666666666667,0.74535599249993,-2.0,-1.0,-2.0
Anonymous_213.152.165.107_R,Anonymous_213.152.165.107,R,2,0.0,2.0,0.0,0.0,0.0
Anonymous_5.166.36.31_R,Anonymous_5.166.36.31,R,4,0.0,0.0,0.0,0.0,0.0
Anonymous_5.166.36.31_L,Anonymous_5.166.36.31,L,4,0.0,0.0,0.0,0.0,0.0
Anonymous_5.18.163.156_L,Anonymous_5.18.163.156,L,1,-0.6666666666666666,1.8856180831641267,2.0,-2.0,-2.0
Anonymous_5.18.163.156_R,Anonymous_5.18.163.156,R,1,0.6666666666666666,1.247219128924647,2.0,-1.0,1.0
Anonymous_5.18.95.129_L,Anonymous_5.18.95.129,L,1,0.0,0.0,0.0,0.0,0.0
Anonymous_5.18.95.129_R,Anonymous_5.18.95.129,R,1,0.0,0.0,0.0,0.0,0.0
Anonymous_77.234.193.84_L,Anonymous_77.234.193.84,L,7,0.0,0.0,0.0,0.0,0.0
Anonymous_77.234.193.84_R,Anonymous_77.234.193.84,R,7,0.0,0.0,0.0,0.0,0.0
Anonymous_77.234.203.186_L,Anonymous_77.234.203.186,L,3,0.6666666666666666,1.8856180831641267,0.6666666666666666,0.6666666666666666,0.6666666666666666
Anonymous_77.234.203.186_R,Anonymous_77.234.203.186,R,3,-0.6666666666666666,1.8856180831641267,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666
Anonymous_77.234.216.36_L,Anonymous_77.234.216.36,L,1,-0.6666666666666666,1.8856180831641267,2.0,-2.0,-2.0
Anonymous_77.234.216.36_R,Anonymous_77.234.216.36,R,1,-0.6666666666666666,1.8856180831641267,2.0,-2.0,-2.0
Anonymous_85.143.144.79_L,Anonymous_85.143.144.79,L,8,0.0,0.0,0.0,0.0,0.0
Anonymous_85.143.144.79_R,Anonymous_85.143.144.79,R,8,0.0,0.0,0.0,0.0,0.0
Anonymous_85.249.20.122_R,Anonymous_85.249.20.122,R,1,1.3333333333333333,0.9428090415820634,2.0,2.0,0.0
Anonymous_85.249.20.122_L,Anonymous_85.249.20.122,L,1,1.3333333333333333,0.4714045207910317,2.0,1.0,1.0
Anonymous_88.201.165.124_L,Anonymous_88.201.165.124,L,1,0.6666666666666666,0.9428090415820634,0.0,0.0,2.0
Anonymous_88.201.165.124_R,Anonymous_88.201.165.124,R,1,0.0,0.0,0.0,0.0,0.0
Anonymous_88.201.167.57_L,Anonymous_88.201.167.57,L,1,1.3333333333333333,0.4714045207910317,2.0,1.0,1.0
Anonymous_88.201.167.57_R,Anonymous_88.201.167.57,R,1,-0.3333333333333333,1.699673171197595,2.0,-1.0,-2.0
Anonymous_95.161.223.140_L,Anonymous_95.161.223.140,L,6,0.0,0.0,0.0,0.0,0.0
Anonymous_95.161.223.140_R,Anonymous_95.161.223.140,R,6,0.0,0.0,0.0,0.0,0.0
Anonymous_95.55.35.26_L,Anonymous_95.55.35.26,L,4,0.3333333333333333,1.0274023338281628,0.25,0.5,0.25
Anonymous_95.55.35.26_R,Anonymous_95.55.35.26,R,4,0.3333333333333333,1.1785113019775793,1.0,0.0,0.0
Artem_L,Artem,L,39,-1.6324786324786325,0.983611786722448,-1.564102564102564,-1.6666666666666667,-1.6666666666666667
Artem_R,Artem,R,39,-1.5897435897435896,0.9621365661176264,-1.5128205128205128,-1.6666666666666667,-1.5897435897435896
Arthur_R,Arthur,R,4,-1.0,0.9128709291752769,-0.5,-1.25,-1.25
Arthur_L,Arthur,L,4,0.08333333333333333,1.0374916331657278,0.25,0.0,0.0
Fedor_L,Fedor,L,4,-1.25,0.5951190357119042,-0.75,-1.5,-1.5
Fedor_R,Fedor,R,4,-1.5,0.8660254037844386,-0.75,-1.75,-2.0
Gorbatovski_L,Gorbatovski,L,4,0.25,1.1636866703140785,0.75,0.0,0.0
Gorbatovski_R,Gorbatovski,R,4,0.08333333333333333,1.4409680388158819,0.25,0.0,0.0
Sergey Kovalchuk_L,Sergey Kovalchuk,L,24,-0.2222222222222222,1.5918387535438228,1.0833333333333333,-0.5833333333333334,-1.1666666666666667
Sergey Kovalchuk_R,Sergey Kovalchuk,R,24,-0.09722222222222222,1.464010115157662,0.9583333333333334,-0.25,-1.0
TypingCat_L,TypingCat,L,20,-0.45,1.6064972248134552,0.05,-0.7,-0.7
TypingCat_R,TypingCat,R,20,-0.65,1.4812719759269959,0.0,-1.1,-0.85
Vadim_L,Vadim,L,11,-0.2727272727272727,1.7968444945907385,0.0,-0.36363636363636365,-0.45454545454545453
Vadim_R,Vadim,R,11,-1.303030303030303,1.2427937366309019,-0.9090909090909091,-1.4545454545454546,-1.5454545454545454
XXZ_L,XXZ,L,13,-0.4358974358974359,1.7801594828420289,-0.38461538461538464,-0.5384615384615384,-0.38461538461538464
XXZ_R,XXZ,R,13,0.38461538461538464,1.6888075692384727,0.38461538461538464,0.38461538461538464,0.38461538461538464
